Papasula abbotti
Empidonax virescens
Melanerpes formicivorus
Tachymarptis melba
Icterus gularis
Chloroceryle amazona
Nannopsittaca dachilleae
Recurvirostra americana
Botaurus lentiginosus
Petrochelidon pyrrhonota
Fulica americana
Corvus brachyrhynchos
Phoenicopterus ruber
Pluvialis dominica
Spinus tristis
Falco sparverius
Haematopus palliatus
Setophaga ruticilla
Turdus migratorius
Pelecanus erythrorhynchos
Mareca americana
Scolopax minor
Rupicola peruvianus
Vultur gryphus
Anhinga anhinga
Calypte anna
Atlapetes blancae
Myiarchus cinerascens
Chalcophaps indica
Eudynamys scolopaceus
Fratercula arctica
Ichthyaetus audouinii
Anthus novaeseelandiae
Spatula rhynchotis
Threskiornis moluccus
Gymnorhina tibicen
Aegotheles cristatus
Corvus coronoides
Acrocephalus australis
Tadorna tadornoides
Taeniopygia castanotis
Cyanistes cyanus
Ammodramus bairdii
Haliaeetus leucocephalus
Leucopsar rothschildi
Icterus galbula
Coereba flaveola
Tyto alba
Hirundo rustica
Thamnophilus doliatus
Strix varia
Bucephala islandica
Falco rufigularis
Ploceus philippinus
Panurus biarmicus
Vireo bellii
Megaceryle alcyon
Houbaropsis bengalensis
Thryomanes bewickii
Dicrurus macrocercus
Anous minutus
Laterallus jamaicensis
Phoenicurus ochruros
Petroica traversi
Leucosticte atrata
Rynchops niger
Ciconia nigra
Cygnus atratus
Chlidonias niger
Coragyps atratus
Dryocopus martius
Dendrocygna autumnalis
Pica hudsonia
Poecile atricapillus
Archilochus alexandri
Nycticorax nycticorax
Chroicocephalus ridibundus
Oriolus chinensis
Podiceps nigricollis
Himantopus mexicanus
Elanus axillaris
Limosa limosa
Gavia arctica
Mniotilta varia
Eurylaimus ochromalus
Setophaga striata
Ithaginis cruentus
Hymenolaimus malacorhynchos
Passerina caerulea
Cyanocitta cristata
Monticola solitarius
Volatinia jacarina
Sula nebouxii
Polioptila caerulea
Thraupis episcopus
Pionus menstruus
Spatula discors
Vermivora cyanoptera
Ara ararauna
Luscinia svecica
Rhyticeros plicatus
Cochlearius cochlearius
Quiscalus major
Dolichonyx oryzivorus
Aquila fasciata
Haliastur indus
Sturnia pagodarum
Fringilla montifringilla
Branta bernicla
Mergus octosetaceus
Amazonetta brasiliensis
Euphagus cyanocephalus
Buteo platypterus
Antigone rubicunda
Molothrus aeneus
Certhia americana
Falco berigora
Pelecanus occidentalis
Lanius cristatus
Toxostoma rufum
Molothrus ater
Melopsittacus undulatus
Pyrrhula pyrrhula
Athene cunicularia
Psaltriparus minimus
Campylorhynchus brunneicapillus
Gymnogyps californianus
Callipepla californica
Aphelocoma californica
Branta canadensis
Perisoreus canadensis
Cardellina canadensis
Aythya valisineria
Poecile carolinensis
Thryothorus ludovicianus
Corvus corone
Haemorhous cassinii
Peucaea cassinii
Bombycilla cedrorum
Setophaga cerulea
Cettia cetti
Calcarius ornatus
Corvus cryptoleucus
Mareca sibilatrix
Chaetura pelagica
Chrysolophus amherstiae
Spizella passerina
Aechmophorus clarkii
Nucifraga columbiana
Turdus grayi
Periparus ater
Nymphicus hollandicus
Ardea cocoi
Turdus merula
Buteo buteo
Fringilla coelebs
Phylloscopus collybita
Grus grus
Cuculus canorus
Somateria mollissima
Bucephala clangula
Quiscalus quiscula
Cissa chinensis
Aegithina tiphia
Alcedo atthis
Ixobrychus minutus
Gavia immer
Mergus merganser
Gallinula chloropus
Uria aalge
Acridotheres tristis
Chordeiles minor
Luscinia megarhynchos
Nyctidromus albicollis
Phasianus colchicus
Corvus corax
Actitis hypoleucos
Gallinago gallinago
Sturnus vulgaris
Apus apus
Orthotomus sutorius
Anas crecca
Sterna hirundo
Columba palumbus
Geothlypis trichas
Accipiter cooperii
Psilopogon haemacephalus
Anthus correndera
Sitta whiteheadi
Paradisaea raggiana
Nipponia nippon
Galerida cristata
Psarocolius decumanus
Ocyphaps lophotes
Lophophanes cristatus
Epthianura tricolor
Tragopan temminckii
Junco hyemalis
Curruca undata
Coloeus dauuricus
Grus virgo
Rhodospiza obsoleta
Oenanthe deserti
Spiza americana
Phalacrocorax auritus
Alle alle
Picoides pubescens
Prunella modularis
Sialia sialis
Aquila heliaca
Tyrannus tyrannus
Sturnella magna
Sayornis phoebe
Platycercus eximius
Megascops asio
Antrostomus vociferus
Psophodes olivaceus
Trogon elegans
Falco eleonorae
Dromaius novaehollandiae
Sylvia atricapilla
Cyanistes caeruleus
Streptopelia decaocto
Fulica atra
Numenius arquata
Bubo bubo
Oriolus oriolus
Picus viridis
Falco subbuteo
